LODGEMENT,,,,,,,,,,,,,
Sheet,Date,Total Sales,Expected  ,,Analysis of POS by Banks,,,,,,Total POS,Actual ,0 
,,,,,GTBank 1,GTBank 2,GTBank 3,GTB TF 1,GTB TF 2,GTB TF  3,,,
,,,,,,,,,,,,,
1 ,1-3-2026,"4,134,620 ","588,104 ",,"1,091,855 ","1,545,361 ","909,300 ",0 ,0 ,0 ,"3,546,516 ","588,105 ",(1)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2 ,2-3-2026,"4,443,440 ","152,735 ",,"1,344,855 ","1,529,910 ","1,415,940 ",0 ,0 ,0 ,"4,290,705 ","152,800 ",(66)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3 ,3-3-2026,"4,212,500 ","188,601 ",,"1,182,858 ","1,626,441 ","1,214,600 ",0 ,0 ,0 ,"4,023,899 ","188,600 ",(65)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4 ,4-3-2026,"4,878,900 ","199,084 ",,"2,137,691 ","1,248,838 ","1,293,287 ",0 ,0 ,0 ,"4,679,816 ","199,100 ",(81)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5 ,5-3-2026,"4,694,870 ","1,029,079 ",,"831,197 ","1,117,574 ","1,717,020 ",0 ,0 ,0 ,"3,665,791 ","1,029,080 ",(82)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
6 ,6-3-2026,"6,217,525 ","986,585 ",,"2,010,654 ","1,519,664 ","1,700,622 ",0 ,0 ,0 ,"5,230,940 ","986,585 ",(82)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
7 ,7-3-2026,"5,622,062 ","642,004 ",,"2,526,460 ","1,703,798 ","749,800 ",0 ,0 ,0 ,"4,980,058 ","642,000 ",(78)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
8 ,8-3-2026,"4,278,630 ","230,357 ",,"2,171,982 ","1,876,291 ",0 ,0 ,0 ,0 ,"4,048,273 ","230,360 ",(81)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
9 ,9-3-2026,"4,371,250 ","526,074 ",,"1,456,311 ","2,388,865 ",0 ,0 ,0 ,0 ,"3,845,176 ","526,075 ",(82)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
10 ,10-3-2026,"5,930,570 ","218,723 ",,"3,569,487 ","2,142,360 ",0 ,0 ,0 ,0 ,"5,711,847 ","218,730 ",(89)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
11 ,11-3-2026,"6,087,330 ","618,226 ",,"2,168,584 ","3,300,520 ",0 ,0 ,0 ,0 ,"5,469,104 ","618,230 ",(93)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
12 ,12-3-2026,"5,831,850 ","574,180 ",,"1,135,560 ","4,122,110 ",0 ,0 ,0 ,0 ,"5,257,670 ","574,200 ",(113)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
13 ,13-3-2026,"5,055,700 ","435,008 ",,"3,053,078 ","1,567,614 ",0 ,0 ,0 ,0 ,"4,620,692 ","435,000 ",(105)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
14 ,14-3-2026,"5,645,100 ","1,378,342 ",,"2,003,430 ","2,263,328 ",0 ,0 ,0 ,0 ,"4,266,758 ","1,378,350 ",(113)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
15 ,15-3-2026,"4,805,900 ","377,873 ",,"2,711,327 ","1,716,700 ",0 ,0 ,0 ,0 ,"4,428,027 ","377,875 ",(115)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
16 ,16-3-2026,"5,820,970 ","287,331 ",,"1,809,876 ","3,723,763 ",0 ,0 ,0 ,0 ,"5,533,639 ","287,330 ",(114)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
17 ,17-3-2026,"6,251,800 ","2,342,479 ",,"1,128,814 ","1,716,737 ",0 ,0 ,"1,063,770 ",0 ,"3,909,321 ","2,342,480 ",(115)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
18 ,18-3-2026,"5,188,050 ","465,021 ",,"900,525 ","1,442,839 ","1,039,775 ","362,150 ","776,020 ","201,720 ","4,723,029 ",,"464,906 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
19 ,19-3-2026,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,"464,906 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
20 ,20-3-2026,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,"464,906 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
21 ,21-3-2026,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,"464,906 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
22 ,22-3-2026,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,"464,906 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
23 ,23-3-2026,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,"464,906 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
24 ,24-3-2026,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,"464,906 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
25 ,25-3-2026,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,"464,906 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
26 ,26-3-2026,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,"464,906 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
27 ,27-3-2026,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,"464,906 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
28 ,28-3-2026,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,"464,906 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
29 ,29-3-2026,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,"464,906 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
30 ,30-3-2026,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,"464,906 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
31 ,31-3-2026,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,"464,906 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"93,471,067 ","11,239,806 ",,"33,234,544 ","36,552,713 ","10,040,344 ","362,150 ","1,839,790 ","201,720 ","82,231,261 ","10,774,900 ",
